Artist,Total Streams
"Alle Farben, James Blunt",468658
"Alle Farben, Janieck",3731371
"Alle Farben, RHODES",15813098
"Alle Farben, Younotus",194368
"Alle Farben, Younotus, Kelvin Jones",17564625
"Alligatoah, Felix Brummer",930072
"Ally Brooke, Matoma",107873
"Almighty, Alex Rose, Rafa Pabön",30896
"Almighty, De La Ghetto, Cosculluela",36681
"Almighty, Miky Woodz, Juhn El All Star",25008
"Almighty, Noriel",30154
"Almighty, Oneill",26788
"Almighty, Rauw Alejandro, Lyanno, Myke Towers",3382860
"Almighty, Ñengo Flow",24041
"Almklausi, Specktakel",3146998
"Aloe Blacc, JID",4710
"Alok, Bhaskar",9329321
"Alok, Bhaskar, Jetlag Music, André Sarate",706641
"Alok, Bruno Martini, Zeeba",203650756
"Alok, Cecilia Krull",7593914
"Alok, Dynoro",26397756
"Alok, Felix Jaehn, The Vamps",29764443
"Alok, Ina Wroldsen",66346023
"Alok, Liu",3383789
"Alok, Luan Santana",10094179
"Alok, Mario Bautista",1339243
"Alok, Matheus & Kauan",5759353
"Alok, Mathieu Koss",22029053
"Alok, Rooftime, Dubdogz",501052
"Alok, Selva",6516274
"Alok, Sevenn",36573
"Alok, THRDL!FE",5098480
"Alok, Yves V",1417831
"Alok, Zeeba, Bruno Martini, Marcos Zeeba",13850505
"Alok, Zeeba, iRO",52436147
"Alok, iRO",2296912
"Alonzo, Dadju",52123
"Alonzo, Dj Spike Miller",2016286
"Alonzo, Jul",93410
"Alonzo, Koba LaD",87767
"Alonzo, MHD",1447208
"Alonzo, Ninho",13070308
"Alpha 5.20, Sofiane",477318
"Alpha Wann, Infinit'",41400
"Alpha Wann, Sneazzy",46038
"Alvaro Rod, Amy Gutierrez",211969
"Alvaro Soler, Emma",34733
"Alvaro Soler, Monika Lewczuk",229988
"Alvaro, Faustix",612323
"Alyssa Mendonsa, Ravi Mishra, Shankar Mahadevan, Shankar-Ehsaan-Loy",27702
"Alyssa Reid, Likewise",238343
"AmPm, Ayden",14518
"AmPm, Haneri",15182
"AmPm, Michael Kaneko",142663
"AmPm, Nao Kawamura",1633
"AmPm, Shel Bee",3586
"Amaal Mallik, Arijit Singh, Tulsi Kumar",883804
"Amaal Mallik, Armaan Malik",12087333
"Amaia, Alfred García",7313917
"Amaia, Roi Méndez",472697
"Amanda Seyfried, Christine Baranski, Julie Walters",954746
"Amanda Seyfried, Dominic Cooper",3025320
"Amanda Seyfried, Lily James, Meryl Streep",157772
"Amarill, NEIMY",262758
"Amedeo Preziosi, Gabry Ponte, DJ Matrix",46201
"Amedeo Preziosi, Riccardo Dose, Awed",1601114
"Amelia Monét, EO",1154209
"Amenazzy, Arcangel, De La Ghetto, Noriel",533330
"Amenazzy, Bad Bunny, Lito Kirino",5465
"Amenazzy, Don Miguelo",35598
"Amenazzy, Don Omar",2444982
"Amenazzy, El Alfa, Lexingthon",28487
"Amenazzy, Lary Over",7199809
"Amenazzy, Myke Towers",1155812
"Amenazzy, Nicky Jam, Farruko",112870418
"Amenazzy, Noriel",713099
"Amenazzy, Shadow Blow",425311
"America, George Martin",1168
"Amero, WOXX",2392
"Ami Faku, Blaq Diamond",1654
"Ami Mishra, Shreya Ghoshal",638726
"Aminata, Tautumeitas",1808
"Amindi, Tessellated, Valleyz",118062
"Aminux, 7liwa",1331
"Aminé, Kehlani",93703
"Aminé, Offset",18337
"Amir Dadon, Shuli Rand",977483
"Amir Ve Ben, Jane Bordeaux",3285
"Amit Trivedi, Kavita Seth, Amitabh Bhattacharya",2931038
"Amit Trivedi, Nikhil D'Souza, Neuman Pinto",80103
"Amitabh Bachchan, Sukhwinder Singh, Alka Yagnik, Udit Narayan",33009
"Amitabh Bachchan, Yajat Garg, Anuj Garg",26498
"Ammy The Bottom Blues, D Gerrard",169791
"Ammy Virk, Sargun Mehta",5643
"Ammy Virk, Shahid Mallya",2902646
"Ammy Virk, Sonam Bajwa",3231010
"Ammy Virk, Sunny Vik",1000706
"Amr Diab, Jana Diab",52140
"Amr Diab, Marshmello",213650
"Amr Diab, R3HAB",13933
"Amrit Maan, Jasmine Sandlas",36487
"Amrita Singh, Ankit Tiwari, Asees Kaur, Ash King, Atif Aslam, Badshah, Dhvani Bhanushali, Guru Randhawa, Himesh Reshammiya, Jubin Nautiyal, Karan Sehmbi, Neha Kakkar, Palak Muchhal, Sachin-Jigar, Shruti Pathak, Sunidhi Chauhan, Tony Kakkar, Aman Hayer, Bappi Lahiri, Goldboy, Gourov-Roshin, Haji Springer, Harsh Upadhyay, Mithoon, Rajat Nagpal, Rochak Kohli, Sandesh Shandilya, Sanjeev Darshan, Tanishk Bagchi, Kedrock, Sd Style",3806745
"Amruta Fadnavis, Akhil Sachdeva",257639
"Amuly, Connect-R",46603
"Amuly, Ian",400079
"Amuly, Oscar",6330
"Amuly, PRNY, Ian, Azteca",7095
"Amylea, Kaer",1886102
"Américo Young, El Polaco, Martín Piña",22103
"Ana Guerra, Cepeda",41833
"Ana Guerra, Juan Magán",46061131
"Ana Guerra, Mike Bahía",58163
"Ana Mena, Becky G, De La Ghetto",18007317
"Ana Mena, CNCO",2243331
"Ana Mena, DELLAFUENTE",973442
"Ana Mena, Omar Montes",2074944
